dataset_root,filename,path,text,label_length,orig_width,orig_height,scaled_width,source_group
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0002_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0002_samples.png,"Số 246E/2, Khu phố 1B, Phường An Phú, Tx Thuận An, Bình Dương",61,1854,103,1728,samples:0002
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0003_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0003_samples.png,"42 Đặng Thị Nhu, Phường Nguyễn Thái Bình, Quận 1, TP Hồ Chí Minh",64,1856,103,1730,samples:0003
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0004_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0004_samples.png,"200 Phan Bội Châu, Phường Trường An, Thành phố Huế, Thừa Thiên - Huế",68,1852,104,1710,samples:0004
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0005_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0005_samples.png,"27A Hoàng Việt, Phường 4, Quận Tân Bình, TP Hồ Chí Minh",55,1854,104,1711,samples:0005
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0006_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0006_samples.png,"Số 113 Đường Hưng Thái 2, Phường Tân Phong, Quận 7, TP Hồ Chí Minh",66,1852,105,1693,samples:0006
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0007_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0007_samples.png,"Thôn 4, xã Giới Phiên, Thành phố Yên Bái, Yên Bái",49,1853,102,1744,samples:0007
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0008_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0008_samples.png,"Dãy II, B1, Trần Phú, Phường Cái Khế, Quận Ninh Kiều, Cần Thơ",61,1854,103,1728,samples:0008
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0009_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0009_samples.png,"ấp Hòa Long 4, Thị trấn An Châu, Huyện Châu Thành, An Giang",59,1852,102,1743,samples:0009
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0010_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0010_samples.png,"Quốc lộ 29 - Khu phố 1, Thị trấn Hai Riêng, Huyện Sông Hinh, Phú Yên",68,1853,103,1727,samples:0010
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0011_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0011_samples.png,"469 Hà Huy Tập, Thị trấn Yên Viên, Huyện Gia Lâm, Hà Nội",56,1854,101,1762,samples:0011
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0012_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0012_samples.png,"479 Khu phố 5, Phường 9, Thành phố Mỹ Tho, Tiền Giang",53,1854,103,1728,samples:0012
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0013_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0013_samples.png,"561A Điện Biên Phủ, Phường 25, Quận Bình Thạnh, TP Hồ Chí Minh",62,1853,102,1744,samples:0013
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0014_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0014_samples.png,"Thôn 4, Xã Ea Tir, Huyện Ea H'leo, Đắc Lắc",42,1853,102,1744,samples:0014
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0015_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0015_samples.png,"Phố 2, Huyện Bá Thước, Thanh Hoá",32,1852,104,1710,samples:0015
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0016_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0016_samples.png,"Tổ 2, Xã Yên Bình, Huyện Quang Bình, Hà Giang",45,1853,104,1710,samples:0016
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0017_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0017_samples.png,"TT Đồng Lê, Huyện Tuyên Hoá, Quảng Bình",39,1856,104,1713,samples:0017
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0018_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0018_samples.png,"Số 253, đường Nguyễn Trãi, Phường Quán Bàu, Thành Phố Vinh, Nghệ An",67,1854,103,1728,samples:0018
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0019_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0019_samples.png,"Số 197, Bạch Đằng, Phường Chương Dương, Quận Hoàn Kiếm, Hà Nội",62,1852,102,1743,samples:0019
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0020_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0020_samples.png,"117A Bình Thới, Phường 11, Quận 11, TP Hồ Chí Minh",50,1853,104,1710,samples:0020
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0021_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0021_samples.png,"Tổ 1, Phường Yên Ninh, Thành phố Yên Bái, Yên Bái",49,1853,104,1710,samples:0021
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0022_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0022_samples.png,"38 Khu Hòa Bình, Thành phố Đà Lạt, Lâm Đồng",43,1854,103,1728,samples:0022
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0023_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0023_samples.png,"Số 348, Tổ 10, ấp Tân Phú B, Xã Tân An, Thị xã Tân Châu, An Giang",65,1852,102,1743,samples:0023
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0024_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0024_samples.png,"122/4B, đường 3/2, Phường Xuân Khánh, Quận Ninh Kiều, Cần Thơ",61,1854,103,1728,samples:0024
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0025_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0025_samples.png,"ấp 1, Xã Hưng Thạnh, Huyện Tháp Mười, Đồng Tháp",47,1853,102,1744,samples:0025
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0026_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0026_samples.png,"ấp 6, Xã Vĩnh Thuận Đông, Huyện Long Mỹ, Hậu Giang",50,1852,102,1743,samples:0026
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0027_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0027_samples.png,"Nhà B11 khu đô thị sông đà 2, Quận Hà Đông, Hà Nội",50,1852,103,1726,samples:0027
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0028_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0028_samples.png,"Số 41, đường Tô Hiệu, TP. Sơn La, Sơn La",40,1852,102,1743,samples:0028
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0029_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0029_samples.png,"ấp Mỹ Hòa, Thị trấn Mỹ Luông, Huyện Chợ Mới, An Giang",53,1853,103,1727,samples:0029
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0030_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0030_samples.png,"Số 49 Trần Quốc Toản, Phường Tây Lộc, Thành phố Huế, Thừa Thiên - Huế",69,1853,102,1744,samples:0030
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0031_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0031_samples.png,"15 Hùng Vương, Thành phố Đà Lạt, Lâm Đồng",41,1853,104,1710,samples:0031
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0032_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0032_samples.png,"22 Linh Trung, Phường Linh Trung, Quận Thủ Đức, TP Hồ Chí Minh",62,1730,96,1730,samples:0032
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0033_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0033_samples.png,"209/11 Bến Vân Đồn, Tổ 2, phường 05, Quận 4, TP Hồ Chí Minh",59,1853,103,1727,samples:0033
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0034_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0034_samples.png,"Số 64 đường Trần Văn ơn, Phường 1, Thành phố Vĩnh Long, Vĩnh Long",65,1854,103,1728,samples:0034
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0035_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0035_samples.png,"49 Nguyễn Thị Huỳnh, Quận Phú Nhuận, TP Hồ Chí Minh",51,1854,102,1745,samples:0035
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0036_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0036_samples.png,"Số 21 Lê Văn Lương, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",59,1856,103,1730,samples:0036
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0037_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0037_samples.png,"Lô C2, 13-14 Phạm Văn Đồng, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",68,1854,103,1728,samples:0037
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0038_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0038_samples.png,"Chợ Lý Hoà, Xã Hải Trạch, Huyện Bố Trạch, Quảng Bình",52,1855,104,1712,samples:0038
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0039_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0039_samples.png,"Số 59 Đại Cồ Việt, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",64,1853,102,1744,samples:0039
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0040_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0040_samples.png,"Xóm Chanh, Xã Thái Bình, Huyện Yên Sơn, Tuyên Quang",51,1853,102,1744,samples:0040
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0041_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0041_samples.png,"Xóm 4, thôn Giang Cao, Xã Bát Tràng, Huyện Gia Lâm, Hà Nội",58,1853,102,1744,samples:0041
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0042_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0042_samples.png,"Xã Đông tân, Huyện Đông Hưng, Thái Bình",39,1853,102,1744,samples:0042
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0043_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0043_samples.png,"426/8/9 Giản Dân, Phường Long Thạnh Mỹ, Quận 9, TP Hồ Chí Minh",62,1855,102,1746,samples:0043
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0044_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0044_samples.png,"27/33 KP Bình Minh 2, Phường Dĩ An, Tx Dĩ An, Bình Dương",56,1852,103,1726,samples:0044
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0045_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0045_samples.png,"215 Nguyễn Duy Hiệu, Phường Sơn Phong, Thành phố Hội An, Quảng Nam",66,1856,103,1730,samples:0045
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0046_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0046_samples.png,"xóm Lê Lợi, Xã Văn Khúc, Huyện Cẩm Khê, Phú Thọ",47,1853,102,1744,samples:0046
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0047_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0047_samples.png,"Thôn 2, Xã Krông Jing, Huyện M'ĐrắK, Đắc Lắc",44,1853,103,1727,samples:0047
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0048_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0048_samples.png,"Tân Thiềng, Huyện Chợ Lách, Bến Tre",35,1856,103,1730,samples:0048
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0049_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0049_samples.png,"Lô IV, Huyện Trảng Bom, Đồng Nai",32,1856,103,1730,samples:0049
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0050_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0050_samples.png,"Phố Lê Lương, Thị trấn Đầm Hà, Huyện Đầm Hà, Quảng Ninh",55,1854,103,1728,samples:0050
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0051_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0051_samples.png,"Số 3, ngách 121, tổ 13, Phường Thịnh Quang, Quận Đống đa, Hà Nội",64,1852,103,1726,samples:0051
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0052_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0052_samples.png,"K760/26 Điện Biên phủ, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",68,1853,102,1744,samples:0052
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0053_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0053_samples.png,"Thôn Pù Đồn, Xã Minh Quang, Huyện Chiêm Hoá, Tuyên Quang",56,1852,102,1743,samples:0053
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0054_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0054_samples.png,"Thôn Nội, Xã Ninh Xuân, Huyện Hoa Lư, Ninh Bình",47,1855,103,1729,samples:0054
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0055_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0055_samples.png,"304/19/1 Bùi Đình Túy, Phường 12, Quận Bình Thạnh, TP Hồ Chí Minh",65,1853,102,1744,samples:0055
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0056_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0056_samples.png,"Số 126 Lý Nam Đế, Phường Kim Long, Thành phố Huế, Thừa Thiên - Huế",66,1859,110,1622,samples:0056
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0057_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0057_samples.png,"182 - ấp Rừng Sến, Xã Mỹ Hạnh Bắc, Huyện Đức Hoà, Long An",57,1734,95,1752,samples:0057
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0058_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0058_samples.png,"xã Quỳnh Xuân, Thị Xã Hoàng Mai, Nghệ An",40,1856,103,1730,samples:0058
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0059_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0059_samples.png,"Xóm Ninh Sơn, Xã Xuất Hóa, Huyện Lạc Sơn, Hòa Bình",50,1854,102,1745,samples:0059
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0060_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0060_samples.png,"Lô H3, TX Dĩ An, Bình Dương",27,1852,104,1710,samples:0060
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0061_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0061_samples.png,"Số 43, Đường Thăng Long, Phường 4, Quận Tân Bình, TP Hồ Chí Minh",64,1853,102,1744,samples:0061
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0062_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0062_samples.png,"Số 172 đại lộ Tôn Đức Thắng, Xã An Đồng, Huyện An Dương, Hải Phòng",66,1854,103,1728,samples:0062
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0063_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0063_samples.png,"93/9 Lũy Bán Bích, Phường Tân Thới Hoà, Quận Tân phú, TP Hồ Chí Minh",68,1854,103,1728,samples:0063
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0064_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0064_samples.png,"Số 900, ấp Phước Lợi, Xã Mong Thọ B, Huyện Châu Thành, Kiên Giang",65,1855,102,1746,samples:0064
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0065_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0065_samples.png,"Số 69 Đường 2, Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",49,1855,103,1729,samples:0065
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0066_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0066_samples.png,"Đọ, Xã Bạch Sam, Huyện Mỹ Hào, Hưng Yên",39,1854,102,1745,samples:0066
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0067_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0067_samples.png,"Vĩnh Hồng, Huyện Bình Giang, Hải Dương",38,1853,102,1744,samples:0067
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0068_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0068_samples.png,"Thôn Tây, Xã An Vĩnh, Huyện Lý Sơn, Quảng Ngãi",46,1853,102,1744,samples:0068
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0069_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0069_samples.png,"Đại lộ Lê Nin, xóm 13, Xã Nghi Phú, Thành Phố Vinh, Nghệ An",59,1854,102,1745,samples:0069
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0070_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0070_samples.png,"309 Bùi Hữu Nghĩa P.01, Phường 1, Quận Bình Thạnh, TP Hồ Chí Minh",65,1855,102,1746,samples:0070
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0071_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0071_samples.png,"Tòa Nhà PetroVietnam 1, Quận 1, TP Hồ Chí Minh",46,1853,102,1744,samples:0071
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0072_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0072_samples.png,"ấp Phú Bình, xã Phú Hựu, Huyện Châu Thành, Đồng Tháp",52,1852,103,1726,samples:0072
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0073_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0073_samples.png,"Số 84, ngõ 10, phố 8-3, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội",67,1853,103,1727,samples:0073
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0074_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0074_samples.png,"Tỉnh lộ 664, Xã Ia Dêr, Huyện Ia Grai, Gia Lai",46,1852,103,1726,samples:0074
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0075_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0075_samples.png,"Số 958, đường La Thành, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",63,1853,102,1744,samples:0075
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0076_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0076_samples.png,"Tầng 5, Số 98 phố Hoàng Ngân, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",69,1854,101,1762,samples:0076
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0077_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0077_samples.png,"64/7/10 Đường Số 8, Phường 11, Quận Gò Vấp, TP Hồ Chí Minh",58,1854,103,1728,samples:0077
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0078_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0078_samples.png,"Số 56, Phố Lưu Hữu Phước, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",67,1854,104,1711,samples:0078
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0079_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0079_samples.png,"Khu TM Hiệp Thành Mộc Bài, Xã Lợi Thuận, Huyện Bến Cầu, Tây Ninh",64,1853,102,1744,samples:0079
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0080_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0080_samples.png,"477 Lê Trọng Tấn, Phường Sơn Kỳ, Quận Tân phú, TP Hồ Chí Minh",61,1853,103,1727,samples:0080
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0081_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0081_samples.png,"Bản Tây Tà Lào, Xã Tân Xuân, Huyện Vân Hồ, Sơn La",49,1853,103,1727,samples:0081
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0082_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0082_samples.png,"Nhà số 8, tổ 10, Phường Định Công, Quận Hoàng Mai, Hà Nội",57,1854,103,1728,samples:0082
